Sheet,Column,Kind,Multivariate,Exog_Features,p,d,q,P,D,Q,m,AIC,Selection_MAPE,Test_MAE,Test_RMSE,Test_MAPE_%,Top_SHAP_Feature,Top_SHAP_Value
Technology,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),1,1,2,0,1,1,12,449.38,9.95,44989.1695,48671.3078,9.9529,Avg Salary (Wtd) (INR),1068184.242365
Technology,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,0,1,2,0,1,1,12,568.47,190.22,844731.0566,882735.8506,190.2177,WFO Count,825875.101489
Operations,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),1,1,2,1,1,1,12,482.21,7.49,34300.403,51732.0409,7.4921,WFO Count,135603.402236
Operations,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,2,1,0,1,1,0,12,639.11,207.74,849096.2231,1361431.3444,207.7394,WFO Count,2772990.950235
Finance,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),2,1,2,1,1,1,12,494.13,9.54,43788.0658,67342.8471,9.5408,Avg Salary (Wtd) (INR),182871.560958
Finance,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,2,0,2,0,1,1,12,635.24,122.51,512768.8389,840111.2239,122.5063,WFO Count,89479.136567
HR,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),1,1,2,0,1,1,12,492.6,12.26,56758.2007,71471.4059,12.2629,Avg Salary (Wtd) (INR),62784.426056
HR,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,1,1,2,0,1,1,12,619.25,3454.6,14984856.3448,15004565.5491,3454.5982,WFO Count,1061313.378217
Sales & Marketing,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),1,1,2,0,1,1,12,485.2,24.76,115100.7644,125130.1796,24.7583,WFO Count,155284.962789
Sales & Marketing,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,1,1,2,0,1,1,12,602.03,103.78,431351.6749,604638.1592,103.7766,WFO Count,3032212.015597
Risk & Compliance,Budget: Office Rent (INR),budget,True,WFO Count|Avg Salary (Wtd) (INR),1,1,2,0,1,1,12,483.83,158.91,744169.6488,791012.1538,158.9132,WFO Count,66820.065954
Risk & Compliance,Office Rent & Facilities (INR),actual,True,WFO Count|CAD/INR Forex Rate,1,1,2,0,1,1,12,603.14,101.2,410814.6055,720977.9143,101.1962,WFO Count,1253427.818522
